DATECL,value
2018-02-01,0.0
2018-02-02,0.0
2018-02-03,4.0
2018-02-04,4.0
2018-02-05,110.99999
2018-02-06,106.0
2018-02-07,86.0
2018-02-08,71.0
2018-02-09,1.0
2018-02-10,2.0
2018-02-11,2.0
2018-02-12,3.0
2018-02-13,72.0
2018-02-14,81.0
2018-02-15,3.0
2018-02-16,70.0
2018-02-17,2.0
2018-02-18,4.0
2018-02-19,92.0
2018-02-20,104.0
2018-02-21,1.0
2018-02-22,102.00001
2018-02-23,104.0
2018-02-24,100.99999
2018-02-25,0.0
2018-02-26,110.0
2018-02-27,92.0
2018-02-28,64.0
2018-03-01,106.0
2018-03-02,0.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,107.0
2018-03-06,148.0
2018-03-07,110.0
